gene	process	chr	gene_function	ENSG
AADAT	Amino Acid Metabolism	NA	catalytic activity; pyridoxal phosphate binding	NA
AASS	Amino Acid Metabolism	NA	saccharopine dehydrogenase (NAD+; L-lysine-forming) activity	NA
ABAT	Amino Acid Metabolism	NA	4-aminobutyrate transaminase activity; pyridoxal phosphate binding	NA
ACAA2	Amino Acid Metabolism	NA	acetyl-CoA C-acetyltransferase activity	NA
ACAT1	Amino Acid Metabolism	NA	acetyl-CoA C-acetyltransferase activity	NA
ACAT2	Amino Acid Metabolism	NA	acetyl-CoA C-acetyltransferase activity	NA
ADO	Amino Acid Metabolism	NA	cysteamine dioxygenase activity	NA
AGXT	Amino Acid Metabolism	NA	alanine-glyoxylate transaminase activity; pyridoxal phosphate binding; serine-pyruvate transaminase activity	NA
AGXT2	Amino Acid Metabolism	NA	alanine-glyoxylate transaminase activity; pyridoxal phosphate binding	NA
AGXT2L1	Amino Acid Metabolism	NA	alanine-glyoxylate transaminase activity; ornithine-oxo-acid transaminase activity; pyridoxal phosphate binding	NA
AGXT2L2	Amino Acid Metabolism	NA	alanine-glyoxylate transaminase activity; ornithine-oxo-acid transaminase activity; pyridoxal phosphate binding	NA
ALDH18A1	Amino Acid Metabolism	NA	delta1-pyrroline-5-carboxylate synthetase activity; glutamate 5-kinase activity; glutamate-5-semialdehyde dehydrogenase activity	NA
ALDH4A1	Amino Acid Metabolism	NA	1-pyrroline-5-carboxylate dehydrogenase activity; oxidoreductase activity; acting on the aldehyde or oxo group of donors; NAD or NADP as acceptor	NA
ALDH5A1	Amino Acid Metabolism	NA	succinate-semialdehyde dehydrogenase (NAD+) activity; succinate-semialdehyde dehydrogenase [NAD(P)+] activity	NA
ALDH6A1	Amino Acid Metabolism	NA	methylmalonate-semialdehyde dehydrogenase (acylating) activity	NA
ASS1	Amino Acid Metabolism	NA	argininosuccinate synthase activity; ATP binding	NA
AUH	Amino Acid Metabolism	NA	AU-rich element binding; enoyl-CoA hydratase activity	NA
BCAT1	Amino Acid Metabolism	NA	branched-chain-amino-acid transaminase activity	NA
BCAT2	Amino Acid Metabolism	NA	branched-chain-amino-acid transaminase activity	NA
BCKDHA	Amino Acid Metabolism	NA	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity	NA
BCKDHB	Amino Acid Metabolism	NA	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity	NA
C15orf61	Amino Acid Metabolism	NA		NA
CCBL2	Amino Acid Metabolism	NA	kynurenine-oxoglutarate transaminase activity; pyridoxal phosphate binding	NA
DBT	Amino Acid Metabolism	NA	cofactor binding; dihydrolipoamide branched chain acyltransferase activity; dihydrolipoyllysine-residue (2-methylpropanoyl)transferase activity	NA
DHTKD1	Amino Acid Metabolism	NA	oxoglutarate dehydrogenase (succinyl-transferring) activity; thiamine pyrophosphate binding	NA
ECHDC2	Amino Acid Metabolism	NA	AU-rich element binding; enoyl-CoA hydratase activity	NA
ETHE1	Amino Acid Metabolism	NA	hydrolase activity	NA
FAHD1	Amino Acid Metabolism	NA	catalytic activity	NA
GCSH	Amino Acid Metabolism	NA		NA
GLDC	Amino Acid Metabolism	NA	glycine dehydrogenase (decarboxylating) activity; pyridoxal phosphate binding	NA
GLS	Amino Acid Metabolism	NA	glutaminase activity	NA
GLS2	Amino Acid Metabolism	NA	glutaminase activity	NA
GLUD1	Amino Acid Metabolism	NA	glutamate dehydrogenase (NAD+) activity; glutamate dehydrogenase [NAD(P)+] activity; identical protein binding	NA
GLUD2	Amino Acid Metabolism	NA	glutamate dehydrogenase (NAD+) activity; glutamate dehydrogenase [NAD(P)+] activity; identical protein binding	NA
GLUL	Amino Acid Metabolism	NA	glutamate synthase activity; glutamate-ammonia ligase activity	NA
GOT2	Amino Acid Metabolism	NA	L-aspartate:2-oxoglutarate aminotransferase activity; pyridoxal phosphate binding	NA
GPT2	Amino Acid Metabolism	NA	L-alanine:2-oxoglutarate aminotransferase activity; pyridoxal phosphate binding	NA
GSTZ1	Amino Acid Metabolism	NA	glutathione transferase activity; maleylacetoacetate isomerase activity	NA
HIBADH	Amino Acid Metabolism	NA	3-hydroxyisobutyrate dehydrogenase activity; NAD binding; phosphogluconate dehydrogenase (decarboxylating) activity	NA
HIBCH	Amino Acid Metabolism	NA	3-hydroxyisobutyryl-CoA hydrolase activity	NA
HMGCL	Amino Acid Metabolism	NA	hydroxymethylglutaryl-CoA lyase activity	NA
HMGCS2	Amino Acid Metabolism	NA	hydroxymethylglutaryl-CoA synthase activity	NA
IVD	Amino Acid Metabolism	NA	flavin adenine dinucleotide binding; isovaleryl-CoA dehydrogenase activity	NA
KMO	Amino Acid Metabolism	NA	kynurenine 3-monooxygenase activity	NA
MAOB	Amino Acid Metabolism	NA	oxidoreductase activity	NA
MCCC1	Amino Acid Metabolism	NA	ATP binding; biotin carboxylase activity; metal ion binding; methylcrotonoyl-CoA carboxylase activity	NA
MCCC2	Amino Acid Metabolism	NA	CoA carboxylase activity; methylcrotonoyl-CoA carboxylase activity; propionyl-CoA carboxylase activity	NA
NADKD1	Amino Acid Metabolism	NA	NAD+ kinase activity	NA
NIT1	Amino Acid Metabolism	NA	bis(5'-adenosyl)-triphosphatase activity; hydrolase activity; acting on carbon-nitrogen (but not peptide) bonds; nitrilase activity	NA
NIT2	Amino Acid Metabolism	NA	bis(5'-adenosyl)-triphosphatase activity; hydrolase activity; acting on carbon-nitrogen (but not peptide) bonds; nitrilase activity	NA
OAT	Amino Acid Metabolism	NA	ornithine-oxo-acid transaminase activity; pyridoxal phosphate binding	NA
OXCT1	Amino Acid Metabolism	NA	3-oxoacid CoA-transferase activity	NA
OXCT2	Amino Acid Metabolism	NA	3-oxoacid CoA-transferase activity	NA
P4HA1	Amino Acid Metabolism	NA	iron ion binding; L-ascorbic acid binding; oxidoreductase activity; acting on single donors with incorporation of molecular oxygen; incorporation of two atoms of oxygen; procollagen-proline 4-dioxygenase activity	NA
PC	Amino Acid Metabolism	NA	ATP binding; biotin carboxylase activity; DNA binding; metal ion binding; pyruvate carboxylase activity	NA
PCBD2	Amino Acid Metabolism	NA	4-alpha-hydroxytetrahydrobiopterin dehydratase activity	NA
PCCA	Amino Acid Metabolism	NA	ATP binding; biotin carboxylase activity; metal ion binding; methylcrotonoyl-CoA carboxylase activity	NA
PRODH	Amino Acid Metabolism	NA	proline dehydrogenase activity	NA
PRODH2	Amino Acid Metabolism	NA		NA
PYCR1	Amino Acid Metabolism	NA	pyrroline-5-carboxylate reductase activity	NA
