gene	process	chr	gene_function	ENSG
CG4434	Amino Acid Metabolism	NA	glutamate dehydrogenase [NAD(P)+] activity ; GO:0004353	NA
Oat	Amino Acid Metabolism	NA	ornithine-oxo-acid transaminase activity ; GO:0004587	NA
slgA	Amino Acid Metabolism	NA	proline dehydrogenase activity ; GO:0004657	NA
CG1640	Amino Acid Metabolism	NA	catalytic activity ; GO:0003824	NA
Got2	Amino Acid Metabolism	NA	L-aspartate:2-oxoglutarate aminotransferase activity ; GO:0004069	NA
Got1	Amino Acid Metabolism	NA	L-aspartate:2-oxoglutarate aminotransferase activity ; GO:0004069	NA
CG1673	Amino Acid Metabolism	NA	branched-chain-amino-acid transaminase activity ; GO:0004084	NA
CG42708	Amino Acid Metabolism	NA	glutaminase activity ; GO:0004359	NA
CG3999	Amino Acid Metabolism	NA	glycine dehydrogenase (decarboxylating) activity ; GO:0004375	NA
CG15093	Amino Acid Metabolism	NA	3-hydroxyisobutyrate dehydrogenase activity ; GO:0008442	NA
CG5044	Amino Acid Metabolism	NA	3-hydroxyisobutyryl-CoA hydrolase activity ; GO:0003860	NA
CG7470	Amino Acid Metabolism	NA	delta1-pyrroline-5-carboxylate synthetase activity ; GO:0017084	NA
GstZ1	Amino Acid Metabolism	NA	glutathione transferase activity ; GO:0004364	NA
GstZ2	Amino Acid Metabolism	NA	glutathione transferase activity ; GO:0004364	NA
CG17896	Amino Acid Metabolism	NA	methylmalonate-semialdehyde dehydrogenase (acylating) activity ; GO:0004491	NA
CG7433	Amino Acid Metabolism	NA	4-aminobutyrate transaminase activity ; GO:0003867	NA
Ssadh	Amino Acid Metabolism	NA	succinate-semialdehyde dehydrogenase (NAD+) activity ; GO:0004777	NA
CG10932	Amino Acid Metabolism	NA	acetyl-CoA C-acetyltransferase activity ; GO:0003985	NA
CG30022	Amino Acid Metabolism	NA	iron ion binding ; GO:0005506	NA
CG3267	Amino Acid Metabolism	NA	methylcrotonoyl-CoA carboxylase activity ; GO:0004485	NA
CG2118	Amino Acid Metabolism	NA	methylcrotonoyl-CoA carboxylase activity ; GO:0004485	NA
CG8745	Amino Acid Metabolism	NA	alanine-glyoxylate transaminase activity ; GO:0008453	NA
cn	Amino Acid Metabolism	NA	kynurenine 3-monooxygenase activity ; GO:0004502	NA
Pcd	Amino Acid Metabolism	NA	4-alpha-hydroxytetrahydrobiopterin dehydratase activity ; GO:0008124	NA
CG11241	Amino Acid Metabolism	NA	transaminase activity ; GO:0008483	NA
NitFhit	Amino Acid Metabolism	NA	bis(5'-adenosyl)-triphosphatase activity ; GO:0047710	NA
CG10399	Amino Acid Metabolism	NA	hydroxymethylglutaryl-CoA lyase activity ; GO:0004419	NA
CG1315	Amino Acid Metabolism	NA	argininosuccinate synthase activity ; GO:0004055	NA
Dhpr	Amino Acid Metabolism	NA	oxidoreductase activity ; GO:0016491	NA
Spat	Amino Acid Metabolism	NA	alanine-glyoxylate transaminase activity ; GO:0008453	NA
ppl	Amino Acid Metabolism	NA	-	NA
CG34148	Amino Acid Metabolism	NA	-	NA
CG5793	Amino Acid Metabolism	NA	catalytic activity ; GO:0003824	NA
CG6321	Amino Acid Metabolism	NA	catalytic activity ; GO:0003824	NA
CG7550	Amino Acid Metabolism	NA	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen ; GO:0016702	NA
CG7280	Amino Acid Metabolism	NA	sulfite oxidase activity ; GO:0008482	NA
Hmgs	Amino Acid Metabolism	NA	hydroxymethylglutaryl-CoA synthase activity ; GO:0004421	NA
PH4alphaEFB	Amino Acid Metabolism	NA	procollagen-proline 4-dioxygenase activity ; GO:0004656	NA
CG6950	Amino Acid Metabolism	NA	catalytic activity ; GO:0003824	NA
nrm	Amino Acid Metabolism	NA	molecular_function ; GO:0003674	NA
CG8132	Amino Acid Metabolism	NA	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds ; GO:0016810	NA
CG14997	Amino Acid Metabolism	NA	oxidoreductase activity ; GO:0016491	NA
CG7460	Amino Acid Metabolism	NA	oxidoreductase activity ; GO:0016491	NA
CG2604	Amino Acid Metabolism	NA	oxidoreductase activity ; GO:0016491	NA
CG5167	Amino Acid Metabolism	NA	oxidoreductase activity ; GO:0016491	NA
P5cr-2	Amino Acid Metabolism	NA	pyrroline-5-carboxylate reductase activity ; GO:0004735	NA
CG1140	Amino Acid Metabolism	NA	3-oxoacid CoA-transferase activity ; GO:0008260	NA
P5CDh2	Amino Acid Metabolism	NA	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor ; GO:0016620	NA
P5CDh1	Amino Acid Metabolism	NA	1-pyrroline-5-carboxylate dehydrogenase activity ; GO:0003842	NA
CG6661	Amino Acid Metabolism	NA	1-pyrroline-5-carboxylate dehydrogenase activity ; GO:0003842	NA
CG6638	Amino Acid Metabolism	NA	isovaleryl-CoA dehydrogenase activity ; GO:0008470	NA
CG8080	Amino Acid Metabolism	NA	NAD+ kinase activity ; GO:0003951	NA
P5cr	Amino Acid Metabolism	NA	pyrroline-5-carboxylate reductase activity ; GO:0004735	NA
CG8199	Amino Acid Metabolism	NA	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity ; GO:0003863	NA
CG17691	Amino Acid Metabolism	NA	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity ; GO:0003863	NA
CG8778	Amino Acid Metabolism	NA	catalytic activity ; GO:0003824	NA
CG5599	Amino Acid Metabolism	NA	dihydrolipoamide branched chain acyltransferase activity ; GO:0004147	NA
CG1544	Amino Acid Metabolism	NA	thiamine pyrophosphate binding ; GO:0030976	NA
Gs1	Amino Acid Metabolism	NA	glutamate-ammonia ligase activity ; GO:0004356	NA
CG1516	Amino Acid Metabolism	NA	pyruvate carboxylase activity ; GO:0004736	NA
Hsc70-1	Apoptosis	NA	-	NA
Hsp68	Apoptosis	NA	unfolded protein binding ; GO:0051082	NA
Trap1	Apoptosis	NA	ATPase activity ; GO:0016887	NA
Clic	Apoptosis	NA	chloride channel activity ; GO:0005254	NA
CG30108	Apoptosis	NA	molecular_function ; GO:0003674	NA
CG30109	Apoptosis	NA	molecular_function ; GO:0003674	NA
Adk2	Apoptosis	NA	ATP binding ; GO:0005524	NA
Alr	Apoptosis	NA	thiol oxidase activity ; GO:0016972	NA
CG1667	Apoptosis	NA	cyclic-di-GMP binding ; GO:0035438	NA
CG1287	Apoptosis	NA	-	NA
CG15530	Apoptosis	NA	-	NA
CG2076	Apoptosis	NA	-	NA
CG2023	Apoptosis	NA	SNAP receptor activity ; GO:0005484	NA
S6k	Apoptosis	NA	ATP binding ; GO:0005524	NA
Hsc70-3	Apoptosis	NA	-	NA
Hsc70-4	Apoptosis	NA	unfolded protein binding ; GO:0051082	NA
ctp	Apoptosis	NA	ATPase activity, coupled ; GO:0042623	NA
CtsB1	Apoptosis	NA	cysteine-type endopeptidase activity ; GO:0004197	NA
Dredd	Apoptosis	NA	peptidase activator activity involved in apoptotic process ; GO:0016505	NA
CG5482	Apoptosis	NA	-	NA
CG7387	Apoptosis	NA	unfolded protein binding ; GO:0051082	NA
CG8128	Apoptosis	NA	hydrolase activity ; GO:0016787	NA
CG2862	Apoptosis	NA	catalytic activity ; GO:0003824	NA
CG5989	Apoptosis	NA	ribosome binding ; GO:0043022	NA
CG5059	Apoptosis	NA	-	NA
CG17349	Apoptosis	NA	G-protein coupled receptor binding ; GO:0001664	NA
CG14798	Apoptosis	NA	-	NA
CG14130	Apoptosis	NA	molecular_function ; GO:0003674	NA
Buffy	Apoptosis	NA	molecular_function ; GO:0003674	NA
grim	Apoptosis	NA	protein homodimerization activity ; GO:0042803	NA
CG10700	Apoptosis	NA	oxidoreductase activity ; GO:0016491	NA
CG4199	Apoptosis	NA	2 iron, 2 sulfur cluster binding ; GO:0051537	NA
l(2)tid	Apoptosis	NA	patched binding ; GO:0005113	NA
CG2789	Apoptosis	NA	-	NA
AIF	Apoptosis	NA	flavin adenine dinucleotide binding ; GO:0050660	NA
CG14806	Apoptosis	NA	molecular_function ; GO:0003674	NA
HtrA2	Apoptosis	NA	serine-type endopeptidase activity ; GO:0004252	NA
rpr	Apoptosis	NA	ubiquitin conjugating enzyme binding ; GO:0031624	NA
CG10920	Apoptosis	NA	-	NA
Mtch	Apoptosis	NA	-	NA
Drp1	Apoptosis	NA	GTP binding ; GO:0005525	NA
prel	Apoptosis	NA	molecular_function ; GO:0003674	NA
porin	Apoptosis	NA	voltage-gated anion channel activity ; GO:0008308	NA
larp	Apoptosis	NA	molecular_function ; GO:0003674	NA
CG9231	Apoptosis	NA	molecular_function ; GO:0003674	NA
rho-7	Apoptosis	NA	serine-type endopeptidase activity ; GO:0004252	NA
CG9319	Bile Acid Synthesis	NA	alpha-methylacyl-CoA racemase activity ; GO:0008111	NA
ScpX	Bile Acid Synthesis	NA	phospholipid transporter activity ; GO:0005548	NA
CG17597	Bile Acid Synthesis	NA	transferase activity, transferring acyl groups other than amino-acyl groups ; GO:0016747	NA
Mfe2	Bile Acid Synthesis	NA	enoyl-CoA hydratase activity ; GO:0004300	NA
Cyp301a1	Bile Acid Synthesis	NA	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ; GO:0016705	NA
Cyp12d1-p	Bile Acid Synthesis	NA	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ; GO:0016705	NA
Cyp12d1-d	Bile Acid Synthesis	NA	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ; GO:0016705	NA
Start1	Bile Acid Synthesis	NA	lipid binding ; GO:0008289	NA
Cyp49a1	Bile Acid Synthesis	NA	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ; GO:0016705	NA
CG17715	Calcium Signaling & Transport	NA	-	NA
CG2970	Calcium Signaling & Transport	NA	-	NA
Swip-1	Calcium Signaling & Transport	NA	calcium ion binding ; GO:0005509	NA
Cyp1	Calcium Signaling & Transport	NA	peptidyl-prolyl cis-trans isomerase activity ; GO:0003755	NA
CG7768	Calcium Signaling & Transport	NA	peptidyl-prolyl cis-trans isomerase activity ; GO:0003755	NA
CG4495	Calcium Signaling & Transport	NA	calcium ion binding ; GO:0005509	NA
CG4662	Calcium Signaling & Transport	NA	calcium ion binding ; GO:0005509	NA
CG4704	Calcium Signaling & Transport	NA	calcium ion binding ; GO:0005509	NA
aralar1	Calcium Signaling & Transport	NA	calcium ion binding ; GO:0005509	NA
CG18769	Calcium Signaling & Transport	NA	-	NA
CG17680	Calcium Signaling & Transport	NA	-	NA
Letm1	Calcium Signaling & Transport	NA	ribosome binding ; GO:0043022	NA
CG7718	Cardiolipin Biosynthesis	NA	phosphotransferase activity, for other substituted phosphate groups ; GO:0016780	NA
zuc	Cardiolipin Biosynthesis	NA	endoribonuclease activity, producing 5'-phosphomonoesters ; GO:0016891	NA
CLS	Cardiolipin Biosynthesis	NA	cardiolipin synthase activity ; GO:0008808	NA
Taz	Cardiolipin Biosynthesis	NA	transferase activity, transferring acyl groups ; GO:0016746	NA
Sirup	Electron Transport Chain	NA	molecular_function ; GO:0003674	NA
CG6629	Electron Transport Chain	NA	succinate dehydrogenase activity ; GO:0000104	NA
CG13850	Electron Transport Chain	NA	protein kinase activity ; GO:0004672	NA
CG31643	Electron Transport Chain	NA	protein kinase activity ; GO:0004672	NA
CG15283	Electron Transport Chain	NA	-	NA
ECSIT	Electron Transport Chain	NA	oxidoreductase activity, acting on NAD(P)H ; GO:0016651	NA
CG3608	Electron Transport Chain	NA	ATP binding ; GO:0005524	NA
CG4042	Electron Transport Chain	NA	-	NA
l(3)neo43	Electron Transport Chain	NA	-	NA
CG6115	Electron Transport Chain	NA	-	NA
CG34117	Electron Transport Chain	NA	-	NA
CG34150	Electron Transport Chain	NA	molecular_function ; GO:0003674	NA
CG11752	Electron Transport Chain	NA	-	NA
CG4627	Electron Transport Chain	NA	-	NA
CG9921	Electron Transport Chain	NA	-	NA
CG15459	Electron Transport Chain	NA	molecular_function ; GO:0003674	NA
CG15908	Electron Transport Chain	NA	-	NA
CG10075	Electron Transport Chain	NA	-	NA
CG3420	Electron Transport Chain	NA	2 iron, 2 sulfur cluster binding ; GO:0051537	NA
CG43343	Electron Transport Chain	NA	glycerol-3-phosphate dehydrogenase [NAD+] activity ; GO:0004367	NA
